Tag,SpeciesNam,DBH,treeXCoord,treeYCoord,treeID,i_mn_fr,h_max,i_mn_sn,i_mean,h_mn_sn,P50h,P90h,h_mean,h_75nrm,i_cv,i_p25,i_p50,i_iq,ndgi,src,si,b2norm,avi,rr,ndwi,ndvi,b4norm
"30226",Cinnamomum ilicioides,50.200000000000003,754780.000000000000000,1597713.100009999936447,"743",134.900413304467634,38.698000000000000,204.135809987819727,92.157777381377102,22.124011571254567,22.808000000000000,30.003499999999999,18.703067784516591,0.710981248394554,86.860982451127015,27.000000000000000,67.000000000000000,110.000000000000000,-0.16883,4.21236,0.97533,0.13215,0.26128,5.58041,0.31183,0.69607,0.13715
"30370",Cinnamomum ilicioides,50.899999999999999,754770.500000000000000,1597868.000000000000000,"522",149.709780364182478,36.105000000000004,208.751231527093609,104.606914449902675,22.395706403940888,20.363000000000000,31.866199999999999,19.358752062285660,0.804127984084881,80.460011208382113,31.000000000000000,83.000000000000000,141.000000000000000,-0.09828,2.63114,0.96750,0.25123,0.32594,6.46391,0.28704,0.73204,0.12070
"31180",Cinnamomum ilicioides,133.099999999999994,754785.600010000052862,1597548.100009999936447,"30",115.836872586872587,51.161000000000001,193.390243902439011,76.771942985746435,39.862335365853660,40.983499999999999,48.134500000000003,34.826778319579894,0.876033619317520,97.187942175588191,23.000000000000000,55.000000000000000,83.000000000000000,-0.18821,2.72532,0.97019,0.25711,0.23194,3.93657,0.20365,0.59486,0.17794
"34002",Cinnamomum ilicioides,105.500000000000000,754852.200010000029579,1597479.399999999906868,"238",119.079999999999998,40.771000000000001,176.744845360824741,85.174704890387858,27.120878865979382,30.786999999999999,37.418100000000003,25.057378583473863,0.834717607973422,93.233653981511424,25.000000000000000,63.000000000000000,93.000000000000000,-0.11934,2.88820,0.96437,0.30970,0.28475,4.76278,0.29699,0.65295,0.15268
"35069",Cinnamomum ilicioides,51.299999999999997,754869.200010000029579,1597552.100009999936447,"10",149.049688408807640,54.143999999999998,205.298256939961277,103.042232406733206,34.789802238003013,25.097000000000001,46.916000000000011,26.616961365485931,0.625623670115195,84.660822171949278,29.000000000000000,78.000000000000000,139.000000000000000,-0.15254,3.59187,0.97050,0.21598,0.26990,5.05943,0.31291,0.66994,0.14717
"35388",Cinnamomum ilicioides,54.399999999999999,754873.399989999947138,1597851.899990000063553,"1934",123.215813350615690,18.873000000000001,184.460606060606068,86.169709070165425,13.086341414141414,9.885000000000000,15.315500000000000,9.470565031374786,0.716496197220037,86.612114966633442,25.000000000000000,64.000000000000000,101.000000000000000,-0.09003,3.34580,0.96979,0.19630,0.31749,6.67022,0.30868,0.73925,0.11758
"36166",Cinnamomum ilicioides,87.000000000000000,754896.600010000052862,1597649.299989999970421,"250",107.636094076420250,40.575000000000003,184.387900355871892,75.918124982937016,20.305352016607355,19.373999999999999,35.050200000000011,20.518216467826040,0.696571021820770,93.241503251518523,23.000000000000000,51.000000000000000,81.000000000000000,-0.21624,3.97552,0.97803,0.09762,0.22855,4.91695,0.25648,0.66199,0.15241
"36237",Cinnamomum ilicioides,65.900000000000006,754898.899989999947138,1597715.700010000029579,"282",93.086479629905980,40.154000000000003,152.472949886104772,69.503090072320845,17.240953018223234,16.593499999999999,34.329000000000001,17.494707626561475,0.693135511595169,87.243231450916326,22.000000000000000,51.000000000000000,77.000000000000000,-0.11367,2.98899,0.96292,0.33580,0.33455,5.91245,0.35762,0.71067,0.12973
"36502",Cinnamomum ilicioides,67.200000000000003,754903.200010000029579,1597418.000000000000000,"41",187.447154471544707,49.279000000000003,251.390645300996113,130.820387846105973,36.334995669120829,35.749000000000002,45.878399999999999,26.371809395416363,0.881318703564994,83.143628321698813,33.000000000000000,98.000000000000000,187.000000000000000,-0.05552,2.59086,0.96601,0.22036,0.33221,6.63414,0.29392,0.73802,0.11725
"38096",Cinnamomum ilicioides,85.799999999999997,754938.799989999970421,1597549.699999999953434,"1398",168.405922715781884,25.972999999999999,222.760343481654957,116.101698043558514,18.705128024980485,15.398000000000000,23.582600000000003,14.530411037283130,0.819199861581052,79.189846190762395,33.000000000000000,92.000000000000000,163.000000000000000,-0.16079,4.53025,0.97659,0.10828,0.27549,6.37402,0.31642,0.72878,0.12350
